,Title,Year,Age,IMDb
0,Breaking Bad,2008,18+,9.5
1,Stranger Things,2016,16+,8.8
2,Money Heist,2017,18+,8.4
3,Sherlock,2010,16+,9.1
4,Better Call Saul,2015,18+,8.7
5,The Office,2005,16+,8.9
6,Black Mirror,2011,18+,8.8
7,Supernatural,2005,16+,8.4
8,Peaky Blinders,2013,18+,8.8
9,Avatar: The Last Airbender,2005,7+,9.2
10,The Walking Dead,2010,18+,8.2
11,Dark,2017,16+,8.7
12,Ozark,2017,18+,8.4
13,Attack on Titan,2013,16+,8.8
14,Narcos,2015,18+,8.8
15,Fullmetal Alchemist: Brotherhood,2009,18+,9.1
16,Community,2009,7+,8.5
17,Mindhunter,2017,18+,8.6
18,Parks and Recreation,2009,16+,8.6
19,Dexter,2006,18+,8.6
20,Marvel's Daredevil,2015,18+,8.6
21,The Witcher,2019,18+,8.3
22,Twin Peaks,1990,18+,8.8
23,One-Punch Man,2015,16+,8.8
24,Outlander,2014,18+,8.4
25,House of Cards,2013,18+,8.7
26,Shameless,2011,18+,8.6
27,The Good Place,2016,16+,8.2
28,The Haunting,2018,18+,8.7
29,The Blacklist,2013,16+,8
30,The Flash,2014,7+,7.7
31,The Last Kingdom,2015,18+,8.4
32,Mad Men,2007,16+,8.6
33,Lucifer,2016,16+,8.2
34,Orange Is the New Black,2013,18+,8.1
35,Grey's Anatomy,2005,16+,7.6
36,The End of the F***ing World,2017,18+,8.1
37,Arrested Development,2003,16+,8.7
38,The Vampire Diaries,2009,7+,7.7
39,The Crown,2016,18+,8.7
40,The 100,2014,16+,7.7
41,When They See Us,2019,18+,8.9
42,How to Get Away with Murder,2014,16+,8.1
43,After Life,2019,18+,8.5
44,Elite,2018,18+,7.6
45,BoJack Horseman,2014,18+,8.7
46,Never Have I Ever,2020,16+,8
47,Penny Dreadful,2014,18+,8.2
48,Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5
49,Dead to Me,2019,18+,8.1
50,Unorthodox,2020,18+,8.1
51,Sense8,2015,18+,8.3
52,Sacred Games,2018,18+,8.7
53,American Crime Story,2016,18+,8.4
